date,cell_ll_lat,cell_ll_lon,mmsi,hours,fishing_hours
2020-06-21,2,-166.8,416623000,0.3808,0
2020-06-21,2,-166.8,416710000,0.1322,0
2020-06-21,2,45.3,417000609,23.6205,0
2020-06-21,2,-18.8,432045000,0.6363,0
2020-06-21,2,-19.2,432458000,0.0669,0
2020-06-21,2,-19.1,432458000,0.4652,0
2020-06-21,2,-165.3,529440000,0.6227,0
2020-06-21,2,-165.2,529440000,0.4772,0
2020-06-21,2,-165.4,529440000,0.7997,0
2020-06-21,2,168.4,544112120,0.0191,0
2020-06-21,2,-20.2,627071000,0.9102,0.8797
2020-06-21,2,-20.3,627071000,0.5477,0
2020-06-21,2,-3.6,627179000,0.3361,0
2020-06-21,2,-5.7,636083838,0.2713,0
2020-06-21,2,-5.6,636083838,0.1905,0
2020-06-21,2,-19.2,636083839,0.0483,0
2020-06-21,2,-19.3,636083839,0.4083,0
2020-06-21,2,-19.4,636083839,0.4308,0
2020-06-21,2,-19.5,636083839,0.2683,0
2020-06-21,2,-19.6,636083839,0.2316,0
2020-06-21,2,-149.1,735057559,0.6205,0
2020-06-21,-2,-13,263241000,0.623,0.623
2020-06-21,-2,-13.1,263241000,1.0547,1.0547
2020-06-21,-2,-97.9,263821000,0.1688,0
2020-06-21,-2,6.8,306034000,0.8841,0
2020-06-21,-2,8.6,332001000,0.4477,0
2020-06-21,-2,-85,353490000,0.8255,0
2020-06-21,-2,-84.9,353490000,0.1255,0
2020-06-21,-2,-84.8,353490000,0.2586,0
2020-06-21,-2,173.6,412420918,0.6316,0
2020-06-21,-2,-105.3,412440548,2.1263,1.928
2020-06-21,-2,-105.4,412440548,3.4294,2.8997
2020-06-21,-2,-105.9,412440548,0.6813,0
2020-06-21,-2,-106,412440548,1.1963,0
2020-06-21,-2,-103.9,412440552,0.4686,0
2020-06-21,-2,-104,412440552,1.6405,1.0702
2020-06-21,-2,-105.2,412440554,1.048,1.048
2020-06-21,-2,-105.1,412440554,0.5313,0
2020-06-21,-2,-110.4,412440694,0.6466,0
2020-06-21,-2,-110.6,412440694,0.2161,0.2161
2020-06-21,-2,-110.7,412440694,0.9016,0.9016
